class	property	type	description
QuantitativeValue	value	Text	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
QuantitativeValue	value	StructuredValue	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
QuantitativeValue	value	Number	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
QuantitativeValue	value	Boolean	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
PropertyValue	value	Text	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
PropertyValue	value	StructuredValue	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
PropertyValue	value	Number	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
PropertyValue	value	Boolean	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
MonetaryAmount	value	Text	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
MonetaryAmount	value	StructuredValue	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
MonetaryAmount	value	Number	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
MonetaryAmount	value	Boolean	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.
Permit	validUntil	Date	The date when the item is no longer valid.
PriceSpecification	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
OpeningHoursSpecification	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
Offer	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
MonetaryAmount	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
LocationFeatureSpecification	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
JobPosting	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
Demand	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
Permit	validIn	AdministrativeArea	The geographic area where the permit is valid.
PriceSpecification	validFrom	DateTime	The date when the item becomes valid.
Permit	validFrom	DateTime	The date when the item becomes valid.
OpeningHoursSpecification	validFrom	DateTime	The date when the item becomes valid.
Offer	validFrom	DateTime	The date when the item becomes valid.
MonetaryAmount	validFrom	DateTime	The date when the item becomes valid.
LocationFeatureSpecification	validFrom	DateTime	The date when the item becomes valid.
Demand	validFrom	DateTime	The date when the item becomes valid.
Permit	validFor	Duration	The time validity of the permit.
InteractionCounter	userInteractionCount	Integer	The number of interactions for the CreativeWork using the WebSite or SoftwareApplication.
EntryPoint	urlTemplate	Text	An url template (RFC6570) that will be used to construct the target of the execution of the action.
Thing	url	URL	URL of the item.
Question	upvoteCount	Integer	The number of upvotes this question, answer or comment has received from the community.
Comment	upvoteCount	Integer	The number of upvotes this question, answer or comment has received from the community.
MediaObject	uploadDate	Date	Date when this media object was uploaded to this site.
NutritionInformation	unsaturatedFatContent	Mass	The number of grams of unsaturated fat.
UnitPriceSpecification	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."
TypeAndQuantityNode	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."
QuantitativeValue	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."
PropertyValue	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."
UnitPriceSpecification	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
UnitPriceSpecification	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
TypeAndQuantityNode	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
TypeAndQuantityNode	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
QuantitativeValue	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
QuantitativeValue	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
PropertyValue	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
PropertyValue	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
Ticket	underName	Person	The person or organization the reservation or ticket is for.
Ticket	underName	Organization	The person or organization the reservation or ticket is for.
Reservation	underName	Person	The person or organization the reservation or ticket is for.
Reservation	underName	Organization	The person or organization the reservation or ticket is for.
Event	typicalAgeRange	Text	The typical expected age range, e.g. '7-9', '11-'.
CreativeWork	typicalAgeRange	Text	The typical expected age range, e.g. '7-9', '11-'.
TypeAndQuantityNode	typeOfGood	Service	The product that this structured value is referring to.
TypeAndQuantityNode	typeOfGood	Product	The product that this structured value is referring to.
OwnershipInfo	typeOfGood	Service	The product that this structured value is referring to.
OwnershipInfo	typeOfGood	Product	The product that this structured value is referring to.
BedDetails	typeOfBed	Text	The type of bed to which the BedDetail refers, i.e. the type of bed available in the quantity indicated by quantity.
Event	translator	Person	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.
Event	translator	Organization	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.
CreativeWork	translator	Person	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.
CreativeWork	translator	Organization	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.
VideoObject	transcript	Text	If this MediaObject is an AudioObject or VideoObject, the transcript of that object.
AudioObject	transcript	Text	If this MediaObject is an AudioObject or VideoObject, the transcript of that object.
NutritionInformation	transFatContent	Mass	The number of grams of trans fat.
TrainTrip	trainNumber	Text	The unique identifier for the train.
TrainTrip	trainName	Text	The name of the train (e.g. The Orient Express).
VideoGameSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
VideoGame	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
TVSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
RadioSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
MovieSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
Movie	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
Episode	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
CreativeWorkSeason	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.
MusicPlaylist	tracks	MusicRecording	A music recording (track)&#x2014;usually a single song.
MusicGroup	tracks	MusicRecording	A music recording (track)&#x2014;usually a single song.
ParcelDelivery	trackingUrl	URL	Tracking url for the parcel delivery.
ParcelDelivery	trackingNumber	Text	Shipper tracking number.
MusicPlaylist	track	MusicRecording	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.
MusicPlaylist	track	ItemList	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.
MusicGroup	track	MusicRecording	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.
MusicGroup	track	ItemList	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.
TouristAttraction	touristType	Text	Attraction suitable for type(s) of tourist. eg. Children, visitors from a particular country, etc.
TouristAttraction	touristType	Audience	Attraction suitable for type(s) of tourist. eg. Children, visitors from a particular country, etc.
HowToDirection	totalTime	Duration	The total time required to perform instructions or a direction (including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
HowTo	totalTime	Duration	The total time required to perform instructions or a direction (including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
Ticket	totalPrice	Text	The total price for the reservation or ticket, including applicable taxes, shipping, etc.
Ticket	totalPrice	PriceSpecification	The total price for the reservation or ticket, including applicable taxes, shipping, etc.
Ticket	totalPrice	Number	The total price for the reservation or ticket, including applicable taxes, shipping, etc.
Reservation	totalPrice	Text	The total price for the reservation or ticket, including applicable taxes, shipping, etc.
Reservation	totalPrice	PriceSpecification	The total price for the reservation or ticket, including applicable taxes, shipping, etc.
Reservation	totalPrice	Number	The total price for the reservation or ticket, including applicable taxes, shipping, etc.
Invoice	totalPaymentDue	PriceSpecification	The total amount due.
Invoice	totalPaymentDue	MonetaryAmount	The total amount due.
HowToDirection	tool	Text	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.
HowToDirection	tool	HowToTool	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.
HowTo	tool	Text	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.
HowTo	tool	HowToTool	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.
Message	toRecipient	Person	A sub property of recipient. The recipient who was directly sent the message.
Message	toRecipient	Organization	A sub property of recipient. The recipient who was directly sent the message.
Message	toRecipient	ContactPoint	A sub property of recipient. The recipient who was directly sent the message.
Message	toRecipient	Audience	A sub property of recipient. The recipient who was directly sent the message.
TransferAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.
MoveAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.
InsertAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.
ExerciseAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.
JobPosting	title	Text	The title of the job.
CreativeWork	timeRequired	Duration	Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'P30M', 'P1H25M'.
Ticket	ticketedSeat	Seat	The seat associated with the ticket.
Ticket	ticketToken	URL	Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.
Ticket	ticketToken	Text	Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.
Ticket	ticketNumber	Text	The unique identifier for the ticket.
Corporation	tickerSymbol	Text	The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we recommend using the controlled vocabulary of Market Identifier Codes (MIC) specified in ISO15022.
CreativeWork	thumbnailUrl	URL	A thumbnail image relevant to the Thing.
VideoObject	thumbnail	ImageObject	Thumbnail image for an image or video.
ImageObject	thumbnail	ImageObject	Thumbnail image for an image or video.
CreativeWork	text	Text	The textual content of this CreativeWork.
CreativeWork	temporalCoverage	URL	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in [ISO 8601 time interval format](https://en.wikipedia.org/wiki/ISO_8601#Time_intervals). In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945""."
CreativeWork	temporalCoverage	Text	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in [ISO 8601 time interval format](https://en.wikipedia.org/wiki/ISO_8601#Time_intervals). In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945""."
CreativeWork	temporalCoverage	DateTime	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in [ISO 8601 time interval format](https://en.wikipedia.org/wiki/ISO_8601#Time_intervals). In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945""."
Dataset	temporal	DateTime	The range of temporal applicability of a dataset, e.g. for a 2011 census dataset, the year 2011 (in ISO 8601 time interval format).
Place	telephone	Text	The telephone number.
Person	telephone	Text	The telephone number.
Organization	telephone	Text	The telephone number.
ContactPoint	telephone	Text	The telephone number.
Person	taxID	Text	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
Organization	taxID	Text	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
AlignmentObject	targetUrl	URL	The URL of a node in an established educational framework.
SoftwareSourceCode	targetProduct	SoftwareApplication	Target Operating System / Product to which the code applies.  If applies to several versions, just the product name can be used.
APIReference	targetPlatform	Text	Type of app development: phone, Metro style, desktop, XBox, etc.
AlignmentObject	targetName	Text	The name of a node in an established educational framework.
AlignmentObject	targetDescription	Text	The description of a node in an established educational framework.
UpdateAction	targetCollection	Thing	A sub property of object. The collection target of the action.
Action	target	EntryPoint	Indicates a target EntryPoint for an Action.
VisualArtwork	surface	URL	A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.
VisualArtwork	surface	Text	A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.
SoftwareApplication	supportingData	DataFeed	Supporting data for a SoftwareApplication.
HowToDirection	supply	Text	A sub-property of instrument. A supply consumed when performing instructions or a direction.
HowToDirection	supply	HowToSupply	A sub-property of instrument. A supply consumed when performing instructions or a direction.
HowTo	supply	Text	A sub-property of instrument. A supply consumed when performing instructions or a direction.
HowTo	supply	HowToSupply	A sub-property of instrument. A supply consumed when performing instructions or a direction.
Event	superEvent	Event	An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.
Recipe	suitableForDiet	RestrictedDiet	Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.
MenuItem	suitableForDiet	RestrictedDiet	Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.
PeopleAudience	suggestedMinAge	Number	Minimal age recommended for viewing content.
PeopleAudience	suggestedMaxAge	Number	Maximal age recommended for viewing content.
PeopleAudience	suggestedGender	Text	The gender of the person or audience.
Question	suggestedAnswer	ItemList	An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site.
Question	suggestedAnswer	Answer	An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site.
NutritionInformation	sugarContent	Mass	The number of grams of sugar.
ProductModel	successorOf	ProductModel	A pointer from a newer variant of a product  to its previous, often discontinued predecessor.
TVEpisode	subtitleLanguage	Text	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).
TVEpisode	subtitleLanguage	Language	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).
ScreeningEvent	subtitleLanguage	Text	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).
ScreeningEvent	subtitleLanguage	Language	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).
Movie	subtitleLanguage	Text	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).
Movie	subtitleLanguage	Language	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).
ReservationPackage	subReservation	Reservation	The individual reservations included in the package. Typically a repeated property.
Organization	subOrganization	Organization	A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.
Event	subEvents	Event	Events that are a part of this event. For example, a conference event includes many presentations, each subEvents of the conference.
Event	subEvent	Event	An Event that is part of this event. For example, a conference event includes many presentations, each of which is a subEvent of the conference.
PostalAddress	streetAddress	Text	The street address. For example, 1600 Amphitheatre Pkwy.
SoftwareApplication	storageRequirements	URL	Storage requirements (free space required).
SoftwareApplication	storageRequirements	Text	Storage requirements (free space required).
HowToSection	steps	Text	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).
HowToSection	steps	ItemList	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).
HowToSection	steps	CreativeWork	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).
HowTo	steps	Text	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).
HowTo	steps	ItemList	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).
HowTo	steps	CreativeWork	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).
PropertyValueSpecification	stepValue	Number	The stepValue attribute indicates the granularity that is expected (and required) of the value in a PropertyValueSpecification.
HowTo	step	Text	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.
HowTo	step	HowToStep	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.
HowTo	step	HowToSection	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.
HowTo	step	CreativeWork	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.
Vehicle	steeringPosition	SteeringPositionValue	The position of the steering wheel or similar device (mostly for cars).
FoodEstablishmentReservation	startTime	DateTime	The startTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to start. For actions that span a period of time, when the action was performed. e.g. John wrote a book from *January* to December.\n\nNote that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.
Action	startTime	DateTime	The startTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to start. For actions that span a period of time, when the action was performed. e.g. John wrote a book from *January* to December.\n\nNote that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.
Role	startDate	DateTime	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
Role	startDate	Date	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
Event	startDate	DateTime	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
Event	startDate	Date	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
